,ID,TENURE_QUINTILES,payment_pr1q_mean_diff_days,payment_pr1q_num_payments,FUND_VALUE2,Mode_Month,payment_pr1q_med_diff_days,payment_pr1q_sd_diff_days,payment_pr1q_num_past_due,payment_pr1q_num_past_due_30d,Mode_Annual,COMMENCEMENT_MONTH,payment_pr1q_sd_pay_amt,ABC_ANNUAL_PREMIUM2,Mode_Quarter,age,payment_pr1q_sd_pay_date,NO_OF_CHILDREN2,TERM,Mode_Half,lapse_var
ID,1.0,-0.0017287184819989602,-0.0004809203037735057,0.0012514723840806182,0.0008316237709546835,0.0036826101410489427,0.0019106595127519556,-0.0008047262935802981,-0.002689869584215165,0.0015113361937487046,0.0014068366452404555,-0.003309351417794267,-0.002796296845751809,-0.00015316775590144558,-0.001322514872104037,-0.0012706759543888823,-0.0010678991688790591,-0.0009048339365467705,0.0003320636254446601,-0.0009048124572725519,0.019433712593106847
TENURE_QUINTILES,-0.0017287184819989602,1.0,-0.003660384814918391,-0.0022266168068068217,-0.00037677198579307247,-0.0027822508854442145,-0.00217099611148223,0.0005362295044380983,-0.001394593212440612,-0.000352565268285632,-0.001179134648582976,0.0001320002740589679,-2.303529839745986e-05,0.0014269015705675827,-0.006163751967036998,-0.0014311667145490577,-0.0014014719544402816,-0.0015788531840732396,0.002795180333710185,-2.6298059375401725e-05,0.002544682952493807
payment_pr1q_mean_diff_days,-0.0004809203037735057,-0.003660384814918391,1.0,0.0018969124220564717,-8.122631976634862e-05,-0.0013249115229200343,0.00484910763948117,0.00018858908496529133,-0.0006091642650364205,0.0016276612515851768,-0.0029404568407528746,-0.0030153684798236704,-0.0019738724233459627,-0.0008858935461486709,-0.0009411392883895022,-0.0010696539116377083,-0.0025446291155649748,-0.000498651273602841,9.831402295902533e-05,-0.0025325370019159913,0.003378617833230223
payment_pr1q_num_payments,0.0012514723840806182,-0.0022266168068068217,0.0018969124220564717,1.0,0.004107166871235679,-0.0005158501695107,0.001796432369843395,-0.0015933745918808493,0.0004799150911257419,-0.0005008235963681186,-0.00038282692298128316,0.0021248207086805564,-0.0006283653458298009,-0.0008291624429259276,-0.002574755489559467,-0.0004481542985097217,0.003224311580799439,0.0033497663217766397,-0.0030326202139129535,0.001521846428880539,0.0006803528490628865
FUND_VALUE2,0.0008316237709546835,-0.00037677198579307247,-8.122631976634862e-05,0.004107166871235679,1.0,-0.004251843190044385,-0.0015457321878179307,0.0010871351560164564,0.001389298567989137,-0.0008222523412293949,0.0032132197609981627,-0.0007975023073565415,0.001955532347461003,-0.00023511045234889092,-0.0006917849936709473,0.0017508126572959313,0.0009083220739673061,-0.0004458666615309695,0.002485564738315673,-8.191861369814337e-05,0.0017994680163875183
Mode_Month,0.0036826101410489427,-0.0027822508854442145,-0.0013249115229200343,-0.0005158501695107,-0.004251843190044385,1.0,0.0022817951910375496,0.0008472591740000145,-0.0014783640771760475,-0.0005068627278144764,-0.0037588931049751676,0.0006159918730727791,0.0012346919045716459,-0.0006742219838567724,0.0018743606322637067,0.0004950013714163787,0.0007830548556479891,6.916798930454486e-05,-0.000308182854149787,-0.0041119621116782155,-0.0004821443773359163
payment_pr1q_med_diff_days,0.0019106595127519556,-0.00217099611148223,0.00484910763948117,0.001796432369843395,-0.0015457321878179307,0.0022817951910375496,1.0,-0.0016547513995468855,-0.0013565605922158525,-0.003259081231426367,0.0010451682795169623,-0.0048968034490962965,-0.0007505378751765194,0.00012303904864603943,-0.0008002491758883073,-0.0022681560397192673,-0.0014006807199606014,0.0019455056646216424,-0.0032901741798767345,0.002498606579591543,-0.0012999602028521756
payment_pr1q_sd_diff_days,-0.0008047262935802981,0.0005362295044380983,0.00018858908496529133,-0.0015933745918808493,0.0010871351560164564,0.0008472591740000145,-0.0016547513995468855,1.0,-0.003727662095795619,0.0002374950830835186,0.0006156876476635345,-0.0022127828205345044,-0.0012312611693247439,0.000947062905722341,-0.002125958165908145,0.0008875033668336993,0.0010783744811028284,-0.004948603039648883,0.0017917569022386434,-0.0019868092245226175,0.001834296870215169
payment_pr1q_num_past_due,-0.002689869584215165,-0.001394593212440612,-0.0006091642650364205,0.0004799150911257419,0.001389298567989137,-0.0014783640771760475,-0.0013565605922158525,-0.003727662095795619,1.0,0.003709142249223535,0.0018702981861854373,-0.00048153064078137754,-0.0010272811467098993,0.0019484793747821278,-0.0011017458843654354,-0.00048808799029763237,-0.0017479224532448304,0.0011015148542737275,0.0014983631868995951,-0.0037921874103980777,-0.0004886000532368412
payment_pr1q_num_past_due_30d,0.0015113361937487046,-0.000352565268285632,0.0016276612515851768,-0.0005008235963681186,-0.0008222523412293949,-0.0005068627278144764,-0.003259081231426367,0.0002374950830835186,0.003709142249223535,1.0,0.001692855620604009,0.00016552352194841726,-0.0036638676529582004,0.002854687687897328,0.0032299320820875933,-0.005552974533964817,-0.0007504736107190153,-8.227222742596088e-05,-0.0033802185834435386,-0.0035483800435709245,-0.0014397924663569605
Mode_Annual,0.0014068366452404555,-0.001179134648582976,-0.0029404568407528746,-0.00038282692298128316,0.0032132197609981627,-0.0037588931049751676,0.0010451682795169623,0.0006156876476635345,0.0018702981861854373,0.001692855620604009,1.0,-0.00022074693683527235,0.0004134064513110868,0.0041771678458834794,-0.003545829314957211,-0.0023162675294159814,-0.004284842461021474,-0.000885161769114121,9.931204126238622e-05,-0.0015288074928367682,0.0048534565589247805
COMMENCEMENT_MONTH,-0.003309351417794267,0.0001320002740589679,-0.0030153684798236704,0.0021248207086805564,-0.0007975023073565415,0.0006159918730727791,-0.0048968034490962965,-0.0022127828205345044,-0.00048153064078137754,0.00016552352194841726,-0.00022074693683527235,1.0,0.002411416008958459,0.00047757253571575355,-0.00027737591495632984,0.0014371336900906944,0.0006529536551522939,-0.0006452973913458765,-0.00040484936557782435,-0.004253819321123339,-0.003262603375703463
payment_pr1q_sd_pay_amt,-0.002796296845751809,-2.303529839745986e-05,-0.0019738724233459627,-0.0006283653458298009,0.001955532347461003,0.0012346919045716459,-0.0007505378751765194,-0.0012312611693247439,-0.0010272811467098993,-0.0036638676529582004,0.0004134064513110868,0.002411416008958459,1.0,-0.0025383229907070125,-0.0020374149409138247,-0.0007667231779405616,0.0016370338749958607,-0.0019577426795952834,-1.0538525489868268e-06,-0.0034957256941125577,-0.0011768778774671658
ABC_ANNUAL_PREMIUM2,-0.00015316775590144558,0.0014269015705675827,-0.0008858935461486709,-0.0008291624429259276,-0.00023511045234889092,-0.0006742219838567724,0.00012303904864603943,0.000947062905722341,0.0019484793747821278,0.002854687687897328,0.0041771678458834794,0.00047757253571575355,-0.0025383229907070125,1.0,-0.002334469329589453,-0.00022242654144301555,-0.0016654424577779404,0.0021361541370404596,0.003943068030278962,-0.0010431880062947258,0.004010079462493648
Mode_Quarter,-0.001322514872104037,-0.006163751967036998,-0.0009411392883895022,-0.002574755489559467,-0.0006917849936709473,0.0018743606322637067,-0.0008002491758883073,-0.002125958165908145,-0.0011017458843654354,0.0032299320820875933,-0.003545829314957211,-0.00027737591495632984,-0.0020374149409138247,-0.002334469329589453,1.0,0.0024493071223351507,-0.004109114995447578,-0.0022135606832374677,0.0004197830108085681,0.0010566488370560077,0.0005099575822333584
age,-0.0012706759543888823,-0.0014311667145490577,-0.0010696539116377083,-0.0004481542985097217,0.0017508126572959313,0.0004950013714163787,-0.0022681560397192673,0.0008875033668336993,-0.00048808799029763237,-0.005552974533964817,-0.0023162675294159814,0.0014371336900906944,-0.0007667231779405616,-0.00022242654144301555,0.0024493071223351507,1.0,-0.0007242568483354605,1.957250146324047e-05,0.00040081101475827283,0.005715501108892038,0.0011032160162679175
payment_pr1q_sd_pay_date,-0.0010678991688790591,-0.0014014719544402816,-0.0025446291155649748,0.003224311580799439,0.0009083220739673061,0.0007830548556479891,-0.0014006807199606014,0.0010783744811028284,-0.0017479224532448304,-0.0007504736107190153,-0.004284842461021474,0.0006529536551522939,0.0016370338749958607,-0.0016654424577779404,-0.004109114995447578,-0.0007242568483354605,1.0,-0.00037311671794953863,-0.002991984648975267,0.0021200713900707026,0.0005537933395046786
NO_OF_CHILDREN2,-0.0009048339365467705,-0.0015788531840732396,-0.000498651273602841,0.0033497663217766397,-0.0004458666615309695,6.916798930454486e-05,0.0019455056646216424,-0.004948603039648883,0.0011015148542737275,-8.227222742596088e-05,-0.000885161769114121,-0.0006452973913458765,-0.0019577426795952834,0.0021361541370404596,-0.0022135606832374677,1.957250146324047e-05,-0.00037311671794953863,1.0,0.0038710389395876623,0.0039804996401097605,0.0023867540667352307
TERM,0.0003320636254446601,0.002795180333710185,9.831402295902533e-05,-0.0030326202139129535,0.002485564738315673,-0.000308182854149787,-0.0032901741798767345,0.0017917569022386434,0.0014983631868995951,-0.0033802185834435386,9.931204126238622e-05,-0.00040484936557782435,-1.0538525489868268e-06,0.003943068030278962,0.0004197830108085681,0.00040081101475827283,-0.002991984648975267,0.0038710389395876623,1.0,0.002157900124639098,-0.0009432619052231902
Mode_Half,-0.0009048124572725519,-2.6298059375401725e-05,-0.0025325370019159913,0.001521846428880539,-8.191861369814337e-05,-0.0041119621116782155,0.002498606579591543,-0.0019868092245226175,-0.0037921874103980777,-0.0035483800435709245,-0.0015288074928367682,-0.004253819321123339,-0.0034957256941125577,-0.0010431880062947258,0.0010566488370560077,0.005715501108892038,0.0021200713900707026,0.0039804996401097605,0.002157900124639098,1.0,-0.001375361337885761
lapse_var,0.019433712593106847,0.002544682952493807,0.003378617833230223,0.0006803528490628865,0.0017994680163875183,-0.0004821443773359163,-0.0012999602028521756,0.001834296870215169,-0.0004886000532368412,-0.0014397924663569605,0.0048534565589247805,-0.003262603375703463,-0.0011768778774671658,0.004010079462493648,0.0005099575822333584,0.0011032160162679175,0.0005537933395046786,0.0023867540667352307,-0.0009432619052231902,-0.001375361337885761,1.0
